ref_id_side,route,count
23713040L,302X,3
23713040R,302X,1
23713041L,302X,3
23713041R,303X,7
23713042L,305X,5
23713042R,305X,5
23713064L,403X,8
23713064R,403X,8
23713165L,404X,5
23713165R,404X,6
23713310R,404X,4
23713311L,404X,1
23713311R,404X,8
23713776L,503X,26
23713776R,503X,22
23713807L,502X,8
23713807R,502X,8
23713808L,502X,9
23713808R,502X,13
23713849L,405X,2
23713849R,405X,6
23713850L,405X,2
23713850R,405X,5
23713920L,402X,23
23713920R,402X,19
23713996L,405X,5
23713996R,405X,7
23714000L,203X,4
23714000R,203X,5
23714001L,203X,5
23714001R,203X,5
23714027L,303X,8
23714027R,303X,2
23714028L,303X,4
23714028R,303X,8
23714029L,303X,7
23714029R,303X,4
23714119R,202X,2
23714120L,504X,1
23714120R,504X,1
23714121L,504X,1
23714121R,504X,2
23714122L,504X,1
23714122R,504X,2
23714123L,504X,3
23714123R,504X,3
23714124L,504X,5
23714124R,504X,4
23714157L,104X,4
23714157R,104X,2
23714158L,104X,1
23714158R,104X,1
23714187L,105X,9
23714187R,105X,9
23714188L,105X,8
23714188R,105X,8
23714189R,105X,1
23714217L,203X,4
23714217R,203X,4
23714218L,203X,3
23714218R,203X,4
23714219L,104X,5
23714219R,104X,4
23714220L,104X,4
23714220R,104X,5
23714305R,202X,2
23714322L,303X,9
23714322R,303X,11
23714324R,303X,2
23714338R,105X,1
23714354R,204X,2
23714355R,204X,1
23714356R,204X,11
23714360R,202X,11
23714496L,203X,1
23714496R,203X,3
23714522L,103X,5
23714522R,103X,5
23714555L,204X,14
23714555R,204X,11
23714793R,404X,2
23714794R,404X,3
23714798R,404X,1
23714802R,404X,1
23714977L,504X,5
23714977R,504X,6
23715135L,504X,3
23715135R,504X,6
23715155R,503X,10
23715156L,503X,4
23715156R,503X,3
23715181L,504X,6
23715181R,504X,11
23715202L,503X,2
23715202R,503X,7
23715229L,304X,10
23715229R,304X,4
23715230L,304X,5
23715354L,303X,4
23715354R,303X,1
23715415L,403X,1
23715415R,403X,1
23715416L,403X,1
23715417R,403X,1
23715533L,105X,3
23715533R,105X,4
23715538L,304X,3
23715539L,304X,5
23715541L,304X,3
23715543L,304X,2
23715543R,304X,1
23715544R,304X,5
23715545R,304X,1
23715547L,304X,1
23715550L,304X,9
23715550R,304X,8
23715553L,304X,9
23715553R,304X,18
23715654L,105X,23
23715654R,105X,23
23715818L,502X,2
23715842L,204X,7
23715842R,204X,7
23715843L,204X,13
23715843R,204X,14
23715844L,204X,4
23715845R,204X,4
23715846R,204X,4
23715847L,204X,8
23715847R,204X,10
23715848L,204X,4
23715911L,205X,15
23715911R,205X,21
23715914L,403X,5
23715914R,403X,4
23715915L,403X,2
23715916L,403X,2
23715916R,403X,11
23715917L,403X,6
